junction_name,violations,weekend_rate,peak_hour_rate,risk_score,risk_level,recommendation
"BTP001 - 10th Cross, Dr. Rajkumar Road",2812,0.42780938833570414,0.25177809388335703,23.815246458153002,Medium,2 Officers
BTP006 - Navarang Bar Junction,47,0.2127659574468085,0.23404255319148937,6.808703448408835,Low,Routine Monitoring
BTP008 - Navarang Theatre,1190,0.4226890756302521,0.09243697478991597,14.770086013562652,Low,Routine Monitoring
BTP009 - Prakash Nagar Junction,262,0.16793893129770993,0.29389312977099236,7.484841776858504,Low,Routine Monitoring
BTP010 - Rajajinagar Entrance,957,0.30929989550679204,0.16091954022988506,12.13139630291951,Low,Routine Monitoring
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",1208,0.24668874172185432,0.5571192052980133,15.978460317412686,Low,Routine Monitoring
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",103,0.5048543689320388,0.23300970873786409,12.893881339603467,Low,Routine Monitoring
"BTP016 - 5th Main Road, RPC Layout",2474,0.3819725141471301,0.2801131770412288,21.65036909458733,Medium,2 Officers
BTP017 - Attiguppe Circle,422,0.15165876777251186,0.10426540284360189,5.9879272542985795,Low,Routine Monitoring
BTP018 - Dhobi Ghat Junction,382,0.2879581151832461,0.24345549738219896,9.924573643594751,Low,Routine Monitoring
BTP020 - Hosahalli Metro Station,4101,0.12070226773957571,0.11972689587905389,22.193099542399448,Medium,2 Officers
"BTP022 - Marenahalli Junction, Vijayanagar",1157,0.25929127052722556,0.12273120138288678,11.655547936380628,Low,Routine Monitoring
BTP023 - Mahalaxmi Layout Entrance,1807,0.338682899833979,0.11178749308245711,16.079117884459293,Low,Routine Monitoring
"BTP024 - NPS, Vijayanagar",632,0.4319620253164557,0.22151898734177214,13.718046147757711,Low,Routine Monitoring
"BTP025 - Puttamma Choultry, Nagarbhavi",27,0.37037037037037035,0.37037037037037035,11.233449126516637,Low,Routine Monitoring
"BTP026 - 1st Block Junction, Rajajinagar",1086,0.2541436464088398,0.06537753222836096,10.657355092327192,Low,Routine Monitoring
BTP027 - Modi Bridge Junction,4584,0.23472949389179756,0.12761780104712042,26.741044281601223,Medium,2 Officers
BTP028 - Vijayanagar Bus Stand Junction,754,0.3010610079575597,0.14721485411140584,10.909771056404809,Low,Routine Monitoring
BTP030 - Mekhri Circle,87,0.27586206896551724,0.3333333333333333,9.244774984505936,Low,Routine Monitoring
BTP032 - Windsor Circle,2749,0.15860312841033103,0.25936704256093124,18.221555377141712,Low,Routine Monitoring
"BTP033 - Sophia High School, Sankey Road",208,0.09134615384615384,0.32211538461538464,5.99053274546025,Low,Routine Monitoring
BTP034 - LRDE Junction,217,0.3225806451612903,0.03686635944700461,7.803511658547688,Low,Routine Monitoring
BTP035 - Basaweshwara Circle (LH) Junction,36,0.2777777777777778,0.25,8.218672909429593,Low,Routine Monitoring
BTP036 - Police Thimmaiah Circle (GPO),83,0.1927710843373494,0.1927710843373494,6.15920865155229,Low,Routine Monitoring
BTP037 - KR Circle,239,0.3514644351464435,0.1297071129707113,9.409277820855284,Low,Routine Monitoring
BTP038 - Mysore Bank Junction,2021,0.33943592281048984,0.0628401781296388,16.574347242490326,Low,Routine Monitoring
BTP040 - Elite Junction,10718,0.32104870311625305,0.19070722149654787,56.8917073556775,High,3 Officers + Patrol Vehicle
BTP041 - Gopal Gowda Circle,378,0.6640211640211641,0.5608465608465608,20.60162110456628,Medium,2 Officers
BTP042 - Minsk Square Junction (CTO),2044,0.14432485322896282,0.052348336594911934,12.671421300487594,Low,Routine Monitoring
BTP043 - Upparpet Junction,1786,0.36674132138857785,0.1858902575587906,17.28616217055475,Low,Routine Monitoring
BTP044 - Sagar Theatre Junction,10549,0.34524599488103136,0.158403640155465,56.28687202187577,High,3 Officers + Patrol Vehicle
BTP045 - Danvanthri Road Junction,3181,0.3373153096510531,0.27192706696007546,23.878807492436042,Medium,2 Officers
BTP047 - Vidhan Soudha Metro Station,200,0.095,0.1,3.8062075215224294,Low,Routine Monitoring
BTP048 - Shanthala Junction,1593,0.3258003766478343,0.3477715003138732,17.211665445021563,Low,Routine Monitoring
BTP051 - Safina Plaza Junction,15449,0.40326234707748077,0.13793773059744968,79.44462424752412,High,4 Officers + Towing Vehicle + Barricades
BTP052 - CID Carlton House Junction,198,0.23232323232323232,0.08585858585858586,6.40219595135771,Low,Routine Monitoring
BTP053 - Three Let Junction,51,0.5686274509803921,0.1568627450980392,13.172259388576455,Low,Routine Monitoring
BTP054 - Shivananda Circle,751,0.31424766977363516,0.12383488681757657,10.926111506965189,Low,Routine Monitoring
BTP057 - Anand Rao Junction,3935,0.347141041931385,0.34536213468869126,28.226075171468395,Medium,2 Officers
BTP058 - Subbanna Junction,5189,0.31239159761032953,0.4891115821931008,34.65050192003701,Medium,2 Officers
BTP061 - Bhashyam Circle,1030,0.27184466019417475,0.11747572815533981,11.2786192212774,Low,Routine Monitoring
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",425,0.2776470588235294,0.22588235294117648,9.737455689117514,Low,Routine Monitoring
BTP063 - Siddalingaiah Circle,1060,0.32358490566037734,0.1650943396226415,12.925541373502833,Low,Routine Monitoring
BTP064 - Devanga Hostel Junction,104,0.2692307692307692,0.10576923076923077,6.913535603499356,Low,Routine Monitoring
BTP067 - Jai Muni Rao Circle,409,0.3471882640586797,0.16136919315403422,10.410651594227303,Low,Routine Monitoring
BTP068 - Veeresh Theatre Junction,504,0.4742063492063492,0.1884920634920635,13.652690573284138,Low,Routine Monitoring
BTP069 - MC Circle,1075,0.20930232558139536,0.16465116279069766,10.703423567717937,Low,Routine Monitoring
"BTP070 - Cholurpalya Junction, Magadi Road",2272,0.3142605633802817,0.18838028169014084,18.46353152900183,Low,Routine Monitoring
BTP071 - Prasanna Junction,721,0.31622746185852985,0.15256588072122051,11.117086159471157,Low,Routine Monitoring
BTP074 - Leprosy Hospital Junction,1047,0.24068767908309455,0.21680993314231137,11.72584928825492,Low,Routine Monitoring
BTP075 - Police Corner,188,0.22340425531914893,0.010638297872340425,5.426303155337466,Low,Routine Monitoring
BTP076 - Hudson Circle,455,0.2835164835164835,0.17582417582417584,9.490193540034955,Low,Routine Monitoring
BTP077 - Halasuru Gate Junction,30,0.43333333333333335,0.03333333333333333,9.135931128228366,Low,Routine Monitoring
BTP078 - NR Square Junction,244,0.1557377049180328,0.05327868852459016,4.75311415986392,Low,Routine Monitoring
BTP079 - Town Hall Junction,162,0.2839506172839506,0.09876543209876543,7.400694759099834,Low,Routine Monitoring
"BTP080 - NR Road, SP Road Junction",3681,0.30100516164085844,0.08068459657701711,23.50569863220764,Medium,2 Officers
BTP082 - KR Market Junction,11538,0.3076789738256197,0.3827353094123765,62.26004448726506,High,3 Officers + Patrol Vehicle
"BTP083 - AS Char Street, Mysore Road",2778,0.36573074154067675,0.3779697624190065,23.681534928950132,Medium,2 Officers
BTP085 - Briyand Circle,166,0.2469879518072289,0.39156626506024095,9.607573929610604,Low,Routine Monitoring
"BTP089 - Police Quarters, Sultan Road",87,0.41379310344827586,0.41379310344827586,12.807993375310534,Low,Routine Monitoring
BTP091 - Sirsi Circle,263,0.4524714828897338,0.43346007604562736,14.575693309052944,Low,Routine Monitoring
BTP092 - Bangalore Builders Junction,96,0.13541666666666666,0.5729166666666666,8.872479610330766,Low,Routine Monitoring
